4968	CAG AGG GGN GNT NTG TGK GKL KLI LIF	CAS ASS SSL SLG LGQ GQG QGA GAS ASQ SQP QPQ PQH QHF	KLGGALQAK
34919	CAV AVQ VQA QAY AYR YRD RDN DNY NYG YGQ GQN QNF NFV FVF	CAI AIS ISE SES ESN SNS NSN SNT NTG TGE GEL ELF LFF	KLGGALQAK
35748	CAV AVG VGV GVL VLR LRG RGQ GQA QAG AGT GTA TAL ALI LIF	CAS ASR SRP RPG PGR GRA RAD ADY DYG YGY GYT YTF	KLGGALQAK
33840	CAE AEN ENM NMG MGG GGG GGS GSQ SQG QGN GNL NLI LIF	CAS ASS SSV SVR VRS RSG SGE GET ETQ TQY QYF	GILGFVFTL
33945	CAG AGA GAG AGS GSQ SQG QGN GNL NLI LIF	CAS ASS SSQ SQD QDR DRV RVR VRE RET ETQ TQY QYF	GILGFVFTL
33554	CAG AGA GAG AGS GSQ SQG QGN GNL NLI LIF	CAS ASS SSS SSR SRS RSA SAY AYE YEQ EQY QYF	GILGFVFTL
34621	CAL ALM LME MEY EYG YGN GNK NKL KLV LVF	CAS ASS SSH SHG HGW GWL WLA LAG AGG GGE GED EDT DTQ TQY QYF	KLGGALQAK
25385	CAR ARG RGG GGG GGF GFK FKT KTI TIF	CAS ASS SSL SLA LAD ADV DVG VGG GGP GPQ PQH QHF	RAKFKQLL
35484	CAG AGV GVV VVT VTN TND NDY DYK YKL KLS LSF	CSV SVA VAG AGT GTG TGN GNT NTE TEA EAF AFF	KLGGALQAK
34633	CAR ARK RKY KYK YKL KLS LSF	CAS ASS SSL SLG LGG GGR GRN RNN NNE NEQ EQF QFF	KLGGALQAK
26548	CAV AVN VNQ NQA QAG AGT GTA TAL ALI LIF	CSG SGL GLA LAG AGG GGP GPG PGE GEQ EQY QYF	KLGGALQAK
6686	CAG AGN GNY NYG YGG GGS GSQ SQG QGN GNL NLI LIF	CAS ASS SSI SIR IRS RSD SDE DEK EKL KLF LFF	GILGFVFTL
35909	CAY AYR YRE REN END NDM DMR MRF	CAS ASS SSM SMV MVA VAG AGV GVY VYN YNE NEQ EQF QFF	KLGGALQAK
16650	CVV VVN VNM NMD MDN DNA NAR ARL RLM LMF	CAS ASS SSQ SQR QRP RPS PSE SEV EVG VGE GEL ELF LFF	RAKFKQLL
34074	CAV AVE VEN ENN NNA NAG AGK GKS KST STF	CAS ASS SSY SYP YPM PMG MGG GGA GAD ADG DGS GSQ SQE QET ETQ TQY QYF	KLGGALQAK
34722	CAV AVR VRD RDG DGA GAA AAG AGN GNK NKL KLT LTF	CAS ASS SSG SGG GGT GTS TSG SGS GSN SNE NEQ EQF QFF	KLGGALQAK
35467	CAM AMS MSV SVF VFY FYN YNQ NQG QGG GGK GKL KLI LIF	CSS SSP SPG PGG GGP GPN PNE NEK EKL KLF LFF	KLGGALQAK
35168	CAV AVQ VQP QPQ PQI QIQ IQG QGA GAQ AQK QKL KLV LVF	CAS ASS SSL SLS LSY SYN YNE NEQ EQF QFF	KLGGALQAK
32417	CAE AER ERD RDG DGG GGG GGS GSQ SQG QGN GNL NLI LIF	CAS ASS SSI SIR IRA RAA AAE AET ETQ TQY QYF	GILGFVFTL
18087	CAL ALS LSE SEG EGT GTY TYK YKY KYI YIF	CAS ASS SSS SSR SRG RGR GRR RRD RDP DPG PGE GEL ELF LFF	KLGGALQAK
2347	CAV AVS VST STG TGF GFQ FQK QKL KLV LVF	CAS ASS SSL SLG LGE GET ETQ TQY QYF	ELAGIGILTV
12507	CAL ALL LLI LIY IYG YGG GGY GYQ YQK QKV KVT VTF	CAS ASS SSF SFS FSG SGN GNT NTG TGE GEL ELF LFF	RAKFKQLL
35470	CAV AVL VLG LGG GGG GGA GAD ADG DGL GLT LTF	CSF SFR FRI RIG IGG GGT GTE TEA EAF AFF	KLGGALQAK
35808	CAT ATD TDE DEV EVY VYN YNN NND NDM DMR MRF	CAS ASR SRV RVG VGN GNT NTE TEA EAF AFF	KLGGALQAK
16765	CAE AEN ENP NPS PSS SSA SAS ASK SKI KII IIF	CAS ASS SSQ SQR QRP RPS PSE SEV EVG VGE GEL ELF LFF	RAKFKQLL
35658	CAA AAF AFS FSG SGG GGY GYN YNK NKL KLI LIF	CAS ASS SSY SYS YSG SGS GSD SDT DTQ TQY QYF	KLGGALQAK
28595	CVV VVN VNW NWP WPG PGD GDM DMR MRF	CAS ASK SKS KSE SER ERG RGT GTY TYE YEQ EQY QYF	KLGGALQAK
2275	CAV AVF	CAS ASS SSL SLT LTL TLS LSD SDT DTQ TQY QYF	KLGGALQAK
5089	CAV AVS VSL SLG LGF GFS FSG SGS GSA SAR ARQ RQL QLT LTF	CAS ASS SSQ SQL QLG LGR GRG RGD GDN DNE NEQ EQF QFF	KLGGALQAK
29859	CAA AAS ASG SGG GGG GGS GSQ SQG QGN GNL NLI LIF	CAS ASS SSA SAR ARS RSS SSY SYE YEQ EQY QYF	GILGFVFTL
29018	CAL ALQ LQR QRG RGT GTY TYK YKY KYI YIF	CAS ASS SSA SAR ARD RDT DTS TSY SYE YEQ EQY QYF	KLGGALQAK
35254	CAL ALS LSD SDS DSG SGG GGS GSY SYI YIP IPT PTF	CAS ASS SSP SPQ PQT QTG TGK GKR KRL RLY LYE YEQ EQY QYF	AVFDRKSDAK
25107	CAA AAS ASE SET ETS TSY SYD YDK DKV KVI VIF	CAS ASS SSP SPR PRD RDR DRE RER ERG RGE GEQ EQY QYF	RAKFKQLL
34632	CAM AMR MRE REH EHP HPF	CAS ASS SSL SLG LGG GGP GPA PAL ALD LDQ DQP QPQ PQH QHF	KLGGALQAK
34593	CAV AVK VKG KGT GTG TGA GAS ASG SGG GGG GGA GAD ADG DGL GLT LTF	CAS ASR SRG RGT GTG TGG GGL GLS LSY SYE YEQ EQY QYF	KLGGALQAK
25920	CAG AGA GAG AGS GSQ SQG QGN GNL NLI LIF	CAS AST STL TLG LGE GER ERN RNP NPR PRG RGY GYT YTF	GILGFVFTL
35562	CAV AVS VSP SPV PVS VSS SSG SGS GSA SAR ARQ RQL QLT LTF	CSV SVE VEW EWV WVG VGG GGP GPT PTE TEA EAF AFF	KLGGALQAK
