24361	CAA AAA AAR ARV RVG VGG GGS GSQ SQG QGN GNL NLI LIF	CAS ASS SSL SLD LDG DGY GYG YGY GYT YTF	RAKFKQLL
23118	CAV AVS VSN SNT NTG TGN GNQ NQF QFY FYF	CAS ASS SST STT TTP TPE PET ETQ TQY QYF	GILGFVFTL
23129	CAA AAM AME MET ETS TSY SYD YDK DKV KVI VIF	CAT ATS TSR SRS RSG SGQ GQG QGE GEK EKL KLF LFF	RAKFKQLL
34749	CAV AVG VGA GAD ADI DIS ISG SGG GGY GYN YNK NKL KLI LIF	CAS ASS SSL SLA LAL ALG LGG GGP GPG PGA GAN ANV NVL VLT LTF	KLGGALQAK
34890	CAE AET ETL TLT LTG TGG GGG GGN GNK NKL KLT LTF	CAS ASK SKG KGR GRS RSG SGV GVG VGE GET ETQ TQY QYF	KLGGALQAK
24788	CAM AMK MKS KST STN TNA NAG AGK GKS KST STF	CAS ASS SSL SLG LGV GVA VAG AGT GTN TNT NTG TGE GEL ELF LFF	KLGGALQAK
5264	CAM AMS MSG SGD GDG DGG GGS GSQ SQG QGN GNL NLI LIF	CQQ QQQ QQK QKS KSY SYE YEQ EQY QYF	GILGFVFTL
35820	CAV AVR VRD RDL DLN LND NDY DYK YKL KLS LSF	CAS ASS SSE SED EDR DRD RDG DGN GNT NTI TIY IYF	KLGGALQAK
21046	CAE AET ETH THS HSG SGG GGS GSN SNY NYK YKL KLT LTF	CAS ASS SSL SLR LRD RDG DGS GSE SEA EAF AFF	RAKFKQLL
34427	CAV AVS VSG SGN GND NDY DYK YKL KLS LSF	CAS AST STV TVS VSG SGE GEP EPS PST STD TDT DTQ TQY QYF	KLGGALQAK
5218	CAV AVW VWV WVY VYG YGQ GQN QNF NFV FVF	CSA SAS AST STQ TQG QGA GAL ALV LVL VLT LTN TNE NEQ EQF QFF	GILGFVFTL
18061	CAA AAS ASE SET ETS TSY SYD YDK DKV KVI VIF	CAS ASI SIA IAN ANR NRR RRD RDS DSS SSY SYE YEQ EQY QYF	RAKFKQLL
34668	CAG AGN GND NDY DYG YGG GGA GAT ATN TNK NKL KLI LIF	CAS ASS SSL SLY LYA YAG AGA GAS ASE SEK EKL KLF LFF	KLGGALQAK
23014	CAA AAS ASR SRG RGY GYS YST STL TLT LTF	CAS ASS SSL SLG LGG GGG GGN GNN NNE NEQ EQF QFF	KLGGALQAK
35173	CAL ALS LSE SEA EAP APS PSG SGY GYN YNK NKL KLI LIF	CAS ASS SSP SPF PFQ FQT QTS TSG SGR GRE REE EET ETQ TQY QYF	KLGGALQAK
34305	CAI AIM IMD MDS DSN SNY NYQ YQL QLI LIW	CAS ASS SSP SPR PRT RTG TGD GDT DTG TGE GEL ELF LFF	KLGGALQAK
31343	CAL ALK LKL KLI LIK IKA KAA AAG AGN GNK NKL KLT LTF	CAS ASS SSI SIR IRS RST STT TTE TEA EAF AFF	GILGFVFTL
35919	CVV VVR VRG RGD GDT DTG TGR GRR RRA RAL ALT LTF	CAS ASS SSP SPH PHT HTM TMN MNT NTE TEA EAF AFF	KLGGALQAK
7287	CAF AFM FMI MIG IGA GAG AGG GGT GTS TSY SYG YGK GKL KLT LTF	CAS ASS SSI SIG IGY GYY YYG YGY GYT YTF	GILGFVFTL
28808	CAA AAS ASA SAM AMI MII IID IDY DYK YKL KLS LSF	CAS ASS SSY SYG YGF GFP FPT PTS TSG SGG GGN GNT NTG TGE GEL ELF LFF	RAKFKQLL
35873	CAV AVT VTG TGW GWD WDT DTD TDK DKL KLI LIF	CAS ASS SSI SIQ IQT QTG TGG GGT GTE TEA EAF AFF	AVFDRKSDAK
35184	CAG AGD GDL DLD LDY DYG YGQ GQN QNF NFV FVF	CAS ASS SSS SSR SRS RSR SRE REV EVE VEQ EQF QFF	KLGGALQAK
